Eruption date;Country;Volcano Name;Location;Tsunami;Earthquake;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Total Effects : Deaths;Coordinates
1794-06-15;Italy;Vesuvius;Italy;non;non;1281;Complex volcano;Historical;3;400;400;40.821, 14.426
1875-01-01;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;;1500;1500;13.257, 123.685
1889-09-06;Indonesia;Banua Wuhu;Sangihe Is-Indonesia;oui;oui;-5;Submarine volcano;Historical;2;;;3.138, 125.491
1971-09-06;Solomon Is.;Tinakula;Santa Cruz Is-SW Pac;oui;non;851;Stratovolcano;Historical;2;;;-10.38, 165.8
1976-09-15;Indonesia;Karangetang [Api Siau];Sangihe Is-Indonesia;non;non;1784;Stratovolcano;Historical;2;1;1;2.78, 125.48
1992-01-21;Indonesia;Karangetang [Api Siau];Sangihe Is-Indonesia;non;non;1784;Stratovolcano;Historical;2;2;2;2.78, 125.48
2002-01-03;Indonesia;Karangetang [Api Siau];Sangihe Is-Indonesia;non;non;1784;Stratovolcano;Historical;3;;;2.78, 125.48
2013-09-15;Indonesia;Sinabung;Sumatra;non;non;2460;Stratovolcano;Holocene;2;;;3.17, 98.392
2019-06-26;Papua New Guinea;Ulawun;New Britain-SW Pac;non;non;2334;Stratovolcano;Historical;;;;-5.05, 151.33
1565-08-01;Guatemala;Pacaya;Guatemala;non;oui;2552;Complex volcano;Historical;3;;;14.381, -90.601
1762-01-01;Russia;Kliuchevskoi;Kamchatka;non;non;4835;Stratovolcano;Historical;2;;;56.057, 160.638
1921-11-26;Japan;Nasu;Honshu-Japan;non;non;1917;Stratovolcano;Historical;;1;1;37.12, 139.97
1941-09-21;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;2;;;-8.108, 112.92
1976-08-03;Japan;Kusatsu-Shirane;Honshu-Japan;non;non;2176;Stratovolcano;Historical;;3;3;36.62, 138.55
1979-07-05;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;2;9;9;37.734, 15.004
1631-02-14;Ethiopia;Dama Ali;Africa-NE;non;oui;1068;Shield volcano;Historical;;50;50;11.28, 41.63
1872-04-17;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;4;170;170;-7.542, 110.442
1878-02-11;Vanuatu;Yasur;Vanuatu-SW Pacific;oui;oui;361;Stratovolcano;Historical;;;;-19.52, 169.425
1909-04-28;Cameroon;Cameroon, Mt.;Africa-W;non;oui;4095;Stratovolcano;Historical;2;;;4.203, 9.17
1914-01-18;Papua New Guinea;Pago;New Britain-SW Pac;non;non;742;Caldera;Historical;3;;;-5.58, 150.52
1930-03-17;Indonesia;Krakatau;Indonesia;oui;non;813;Caldera;Historical;2;;;-6.102, 105.423
1930-09-11;Italy;Stromboli;Italy;oui;non;926;Stratovolcano;Historical;3;5;6;38.789, 15.213
1954-02-01;Italy;Stromboli;Italy;oui;non;926;Stratovolcano;Historical;;;;38.789, 15.213
